Observation ID,Plant ID,Date,Observer,Site,Time Arrived,Departure Time,Weather,Plant #,North Face Temp,South Face Temp,Species Code,Breaking Leaf Buds,How many buds?,Leaves?,What % of canopy is full?,Colored Leaves?,What % of Canopy is Colored?,Falling Leaves?,Fruits,How many fruit?,Ripe Fruits,What % of all Fruit are Ripe?,Recent Fruit Drop?,How many dropped fruit do you see?,Species Observed,Other Comments,General Comments
1,GCVC10,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,10,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
2,GCVC9,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,9,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
3,GCVC7,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,7,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
4,GCVC8,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,8,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
5,GCVC5,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,,,
6,GCVC2,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,2,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
7,GCVC1,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,1,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
8,GCVC6,6/12/2013,Carlie Ruffalo,GCVC,,,unknown,6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
9,HQ2,6/12/2013,Carlie Ruffalo,HQ,,,unknown,2,,,QUEGAM,Yes,3-10,Yes,>95%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
10,HQ1,6/12/2013,Carlie Ruffalo,HQ,,,unknown,1,,,QUEGAM,No,<3,Yes,>95%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
11,SHRINE2,6/12/2013,Carlie Ruffalo,SHRINE,,,unknown,2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
12,SHRINE3,6/12/2013,Carlie Ruffalo,SHRINE,,,unknown,3,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
13,SHRINE4,6/12/2013,Carlie Ruffalo,SHRINE,,,unknown,4,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
14,GCVC5,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,5,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,,,
15,GCVC6,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
16,GCVC2,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,2,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,,,
17,GCVC1,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,,,
18,GCVC9,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,9,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
19,GCVC10,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,10,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
20,GCVC8,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
21,GCVC7,6/16/2013,Carlie Ruffalo,GCVC,,,unknown,7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
22,SHRINE1,6/16/2013,Carlie Ruffalo,SHRINE,,,unknown,1,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
23,SHRINE2,6/16/2013,Carlie Ruffalo,SHRINE,,,unknown,2,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
