"","ID","Year","meanDOE"
"1","SHRINE","2013",177
"2","SHRINE","2014",174
"3","SHRINE","2015",179.666666666667
"4","SHRINE","2016",177.375
"5","SHRINE","2018",176.75
"6","SHRINE","2019",196
"7","SHRINE","2020",189.166666666667
"8","SHRINE","2021",204.142857142857
"9","HQ","2013",177
"10","HQ","2014",174
"11","HQ","2015",173
"12","HQ","2016",175
"13","HQ","2017",198
"14","HQ","2018",177.5
"15","HQ","2019",175
"16","HQ","2020",174
"17","HQ","2021",177
"18","ERD.A","2013",289
"19","ERD.A","2014",303
"20","ERD.A","2016",235
"21","ERD.A","2019",292.333333333333
"22","ERD.A","2020",191
"23","ERD.A","2021",201
"24","ERD.B","2016",291
"25","ERD.B","2019",290
"26","ERD.B","2020",191
"27","ERD.B","2021",201
"28","GCVC.A","2013",182.75
"29","GCVC.A","2014",174
"30","GCVC.A","2015",174
"31","GCVC.A","2016",210
"32","GCVC.A","2017",198
"33","GCVC.A","2018",191.5
"34","GCVC.A","2019",245
"35","GCVC.A","2020",220.333333333333
"36","GCVC.A","2021",231
"37","GCVC.B","2013",177
"38","GCVC.B","2014",174
"39","GCVC.B","2016",179
"40","GCVC.B","2017",202.333333333333
"41","GCVC.B","2018",175
"42","GCVC.B","2019",197.75
"43","GCVC.B","2020",174
"44","GCVC.B","2021",176
