"","ID","Year","meanDOE"
"1","SHRINE","2013",164
"2","SHRINE","2014",125
"3","SHRINE","2015",124
"4","SHRINE","2016",141.25
"5","SHRINE","2017",128
"6","SHRINE","2018",123
"7","SHRINE","2019",126
"8","SHRINE","2020",126.5
"9","SHRINE","2021",126
"10","HQ","2013",163
"11","HQ","2014",125
"12","HQ","2015",124
"13","HQ","2016",123
"14","HQ","2017",131.5
"15","HQ","2018",123
"16","HQ","2019",150.5
"17","HQ","2020",125
"18","HQ","2021",126
"19","ERD.A","2013",150
"20","ERD.A","2014",154.166666666667
"21","ERD.A","2015",165
"22","ERD.A","2016",168.5
"23","ERD.A","2017",177.5
"24","ERD.A","2018",165
"25","ERD.A","2019",166.666666666667
"26","ERD.A","2020",155.333333333333
"27","ERD.A","2021",154
"28","ERD.A","2022",156.333333333333
"29","ERD.B","2013",141.25
"30","ERD.B","2014",141.75
"31","ERD.B","2015",165.5
"32","ERD.B","2016",150
"33","ERD.B","2017",161.5
"34","ERD.B","2018",165
"35","ERD.B","2019",145
"36","ERD.B","2020",156.5
"37","ERD.B","2021",161.25
"38","ERD.B","2022",155
"39","GCVC.A","2013",164
"40","GCVC.A","2014",125
"41","GCVC.A","2015",124
"42","GCVC.A","2016",123
"43","GCVC.A","2017",135
"44","GCVC.A","2018",123
"45","GCVC.A","2019",126
"46","GCVC.A","2020",125
"47","GCVC.A","2021",126
"48","GCVC.B","2013",167
"49","GCVC.B","2014",136.25
"50","GCVC.B","2015",124
"51","GCVC.B","2016",123
"52","GCVC.B","2017",166.5
"53","GCVC.B","2018",126.5
"54","GCVC.B","2019",161
"55","GCVC.B","2020",125
"56","GCVC.B","2021",152.25
