"","Tree.ID","Plant.ID","Site","Date","DOY","Year","BLB"
"1","GCVC1",1,"GCVC",2014-04-14,104,"2014","YES"
"2","GCVC1",1,"GCVC",2015-04-02,92,"2015","YES"
"3","GCVC1",1,"GCVC",2016-03-31,91,"2016","YES"
"4","GCVC1",1,"GCVC",2017-03-20,79,"2017","YES"
"5","GCVC1",1,"GCVC",2018-04-23,113,"2018","YES"
"6","GCVC1",1,"GCVC",2019-05-06,126,"2019","YES"
"7","GCVC1",1,"GCVC",2020-04-30,121,"2020","YES"
"8","GCVC1",1,"GCVC",2021-05-06,126,"2021","YES"
"9","GCVC1",1,"GCVC",2022-04-29,119,"2022","YES"
"10","GCVC10",10,"GCVC",2014-04-09,99,"2014","YES"
"11","GCVC10",10,"GCVC",2015-03-30,89,"2015","YES"
"12","GCVC10",10,"GCVC",2016-04-04,95,"2016","YES"
"13","GCVC10",10,"GCVC",2017-03-20,79,"2017","YES"
"14","GCVC10",10,"GCVC",2018-04-16,106,"2018","YES"
"15","GCVC10",10,"GCVC",2019-05-06,126,"2019","YES"
"16","GCVC10",10,"GCVC",2020-04-30,121,"2020","YES"
"17","GCVC10",10,"GCVC",2021-05-06,126,"2021","YES"
"18","GCVC10",10,"GCVC",2022-04-29,119,"2022","YES"
"19","GCVC2",2,"GCVC",2013-07-03,184,"2013","YES"
"20","GCVC2",2,"GCVC",2014-04-09,99,"2014","YES"
"21","GCVC2",2,"GCVC",2015-04-02,92,"2015","YES"
"22","GCVC2",2,"GCVC",2016-03-31,91,"2016","YES"
"23","GCVC2",2,"GCVC",2017-03-20,79,"2017","YES"
"24","GCVC2",2,"GCVC",2018-04-16,106,"2018","YES"
"25","GCVC2",2,"GCVC",2019-05-06,126,"2019","YES"
"26","GCVC2",2,"GCVC",2020-04-30,121,"2020","YES"
"27","GCVC2",2,"GCVC",2021-05-06,126,"2021","YES"
"28","GCVC2",2,"GCVC",2022-04-29,119,"2022","YES"
"29","GCVC3",3,"GCVC",2013-07-09,190,"2013","YES"
"30","GCVC3",3,"GCVC",2014-04-09,99,"2014","YES"
"31","GCVC3",3,"GCVC",2015-03-30,89,"2015","YES"
"32","GCVC3",3,"GCVC",2016-03-31,91,"2016","YES"
"33","GCVC3",3,"GCVC",2017-03-20,79,"2017","YES"
"34","GCVC3",3,"GCVC",2018-04-23,113,"2018","YES"
"35","GCVC3",3,"GCVC",2019-05-06,126,"2019","YES"
"36","GCVC3",3,"GCVC",2020-05-04,125,"2020","YES"
"37","GCVC3",3,"GCVC",2021-05-06,126,"2021","YES"
"38","GCVC3",3,"GCVC",2022-04-29,119,"2022","YES"
"39","GCVC4",4,"GCVC",2013-07-06,187,"2013","YES"
"40","GCVC4",4,"GCVC",2014-04-09,99,"2014","YES"
"41","GCVC4",4,"GCVC",2015-03-30,89,"2015","YES"
"42","GCVC4",4,"GCVC",2016-03-31,91,"2016","YES"
"43","GCVC4",4,"GCVC",2017-03-20,79,"2017","YES"
"44","GCVC4",4,"GCVC",2018-04-16,106,"2018","YES"
"45","GCVC4",4,"GCVC",2019-05-06,126,"2019","YES"
"46","GCVC4",4,"GCVC",2020-04-30,121,"2020","YES"
"47","GCVC4",4,"GCVC",2021-05-06,126,"2021","YES"
"48","GCVC4",4,"GCVC",2022-04-29,119,"2022","YES"
"49","GCVC5",5,"GCVC",2013-08-23,235,"2013","YES"
"50","GCVC5",5,"GCVC",2014-04-14,104,"2014","YES"
"51","GCVC5",5,"GCVC",2015-04-02,92,"2015","YES"
"52","GCVC5",5,"GCVC",2016-04-04,95,"2016","YES"
"53","GCVC5",5,"GCVC",2017-03-20,79,"2017","YES"
"54","GCVC5",5,"GCVC",2018-04-19,109,"2018","YES"
"55","GCVC5",5,"GCVC",2019-05-06,126,"2019","YES"
"56","GCVC5",5,"GCVC",2020-05-04,125,"2020","YES"
"57","GCVC5",5,"GCVC",2021-05-06,126,"2021","YES"
"58","GCVC5",5,"GCVC",2022-04-29,119,"2022","YES"
"59","GCVC6",6,"GCVC",2013-07-03,184,"2013","YES"
"60","GCVC6",6,"GCVC",2014-04-17,107,"2014","YES"
"61","GCVC6",6,"GCVC",2015-04-13,103,"2015","YES"
"62","GCVC6",6,"GCVC",2016-04-04,95,"2016","YES"
"63","GCVC6",6,"GCVC",2017-03-20,79,"2017","YES"
"64","GCVC6",6,"GCVC",2018-04-19,109,"2018","YES"
"65","GCVC6",6,"GCVC",2019-05-06,126,"2019","YES"
"66","GCVC6",6,"GCVC",2020-05-07,128,"2020","YES"
"67","GCVC6",6,"GCVC",2021-05-06,126,"2021","YES"
"68","GCVC6",6,"GCVC",2022-04-29,119,"2022","YES"
"69","GCVC7",7,"GCVC",2014-04-09,99,"2014","YES"
"70","GCVC7",7,"GCVC",2015-03-30,89,"2015","YES"
"71","GCVC7",7,"GCVC",2016-04-04,95,"2016","YES"
"72","GCVC7",7,"GCVC",2017-03-20,79,"2017","YES"
"73","GCVC7",7,"GCVC",2018-04-16,106,"2018","YES"
"74","GCVC7",7,"GCVC",2019-05-06,126,"2019","YES"
"75","GCVC7",7,"GCVC",2020-04-30,121,"2020","YES"
"76","GCVC7",7,"GCVC",2021-04-29,119,"2021","YES"
"77","GCVC7",7,"GCVC",2022-04-29,119,"2022","YES"
"78","GCVC8",8,"GCVC",2014-04-09,99,"2014","YES"
"79","GCVC8",8,"GCVC",2015-03-30,89,"2015","YES"
"80","GCVC8",8,"GCVC",2016-04-04,95,"2016","YES"
"81","GCVC8",8,"GCVC",2017-03-20,79,"2017","YES"
"82","GCVC8",8,"GCVC",2018-04-16,106,"2018","YES"
"83","GCVC8",8,"GCVC",2019-05-06,126,"2019","YES"
"84","GCVC8",8,"GCVC",2020-04-30,121,"2020","YES"
"85","GCVC8",8,"GCVC",2021-05-06,126,"2021","YES"
"86","GCVC8",8,"GCVC",2022-04-29,119,"2022","YES"
"87","GCVC9",9,"GCVC",2013-08-27,239,"2013","YES"
"88","GCVC9",9,"GCVC",2014-04-09,99,"2014","YES"
"89","GCVC9",9,"GCVC",2015-03-30,89,"2015","YES"
"90","GCVC9",9,"GCVC",2016-04-04,95,"2016","YES"
"91","GCVC9",9,"GCVC",2017-03-20,79,"2017","YES"
"92","GCVC9",9,"GCVC",2018-04-19,109,"2018","YES"
"93","GCVC9",9,"GCVC",2019-05-06,126,"2019","YES"
"94","GCVC9",9,"GCVC",2020-04-30,121,"2020","YES"
"95","GCVC9",9,"GCVC",2021-04-29,119,"2021","YES"
"96","GCVC9",9,"GCVC",2022-04-29,119,"2022","YES"
"97","HQ1",1,"HQ",2014-04-14,104,"2014","YES"
"98","HQ1",1,"HQ",2015-03-30,89,"2015","YES"
"99","HQ1",1,"HQ",2016-03-31,91,"2016","YES"
"100","HQ1",1,"HQ",2017-03-20,79,"2017","YES"
"101","HQ1",1,"HQ",2018-04-26,116,"2018","YES"
"102","HQ1",1,"HQ",2019-05-06,126,"2019","YES"
"103","HQ1",1,"HQ",2020-04-30,121,"2020","YES"
"104","HQ1",1,"HQ",2021-05-06,126,"2021","YES"
"105","HQ1",1,"HQ",2022-04-29,119,"2022","YES"
"106","HQ2",2,"HQ",2013-06-12,163,"2013","YES"
"107","HQ2",2,"HQ",2014-04-09,99,"2014","YES"
"108","HQ2",2,"HQ",2015-03-30,89,"2015","YES"
"109","HQ2",2,"HQ",2016-03-31,91,"2016","YES"
"110","HQ2",2,"HQ",2017-03-20,79,"2017","YES"
"111","HQ2",2,"HQ",2018-04-23,113,"2018","YES"
"112","HQ2",2,"HQ",2019-05-06,126,"2019","YES"
"113","HQ2",2,"HQ",2020-04-30,121,"2020","YES"
"114","HQ2",2,"HQ",2021-05-06,126,"2021","YES"
"115","HQ2",2,"HQ",2022-04-29,119,"2022","YES"
"116","Shrine1",1,"SHRINE",2016-06-06,158,"2016","YES"
"117","Shrine1",1,"SHRINE",2020-05-07,128,"2020","YES"
"118","Shrine1",1,"SHRINE",2021-05-13,133,"2021","YES"
"119","SHRINE1",1,"SHRINE",2014-04-14,104,"2014","YES"
"120","SHRINE1",1,"SHRINE",2015-04-16,106,"2015","YES"
"121","SHRINE1",1,"SHRINE",2016-03-31,91,"2016","YES"
"122","SHRINE1",1,"SHRINE",2017-03-20,79,"2017","YES"
"123","SHRINE1",1,"SHRINE",2018-04-30,120,"2018","YES"
"124","SHRINE1",1,"SHRINE",2019-05-06,126,"2019","YES"
"125","Shrine2",2,"SHRINE",2016-06-30,182,"2016","YES"
"126","Shrine2",2,"SHRINE",2020-05-07,128,"2020","YES"
"127","Shrine2",2,"SHRINE",2021-05-13,133,"2021","YES"
"128","SHRINE2",2,"SHRINE",2014-05-05,125,"2014","YES"
"129","SHRINE2",2,"SHRINE",2015-05-07,127,"2015","YES"
"130","SHRINE2",2,"SHRINE",2016-03-31,91,"2016","YES"
"131","SHRINE2",2,"SHRINE",2017-03-20,79,"2017","YES"
"132","SHRINE2",2,"SHRINE",2018-05-07,127,"2018","YES"
"133","SHRINE2",2,"SHRINE",2019-05-06,126,"2019","YES"
"134","Shrine3",3,"SHRINE",2016-06-02,154,"2016","YES"
"135","Shrine3",3,"SHRINE",2020-05-07,128,"2020","YES"
"136","Shrine3",3,"SHRINE",2021-05-13,133,"2021","YES"
"137","SHRINE3",3,"SHRINE",2014-04-14,104,"2014","YES"
"138","SHRINE3",3,"SHRINE",2015-04-20,110,"2015","YES"
"139","SHRINE3",3,"SHRINE",2016-03-31,91,"2016","YES"
"140","SHRINE3",3,"SHRINE",2017-03-20,79,"2017","YES"
"141","SHRINE3",3,"SHRINE",2018-04-23,113,"2018","YES"
"142","SHRINE3",3,"SHRINE",2019-05-06,126,"2019","YES"
"143","Shrine4",4,"SHRINE",2016-06-06,158,"2016","YES"
"144","Shrine4",4,"SHRINE",2018-04-16,106,"2018","YES"
"145","Shrine4",4,"SHRINE",2020-05-07,128,"2020","YES"
"146","Shrine4",4,"SHRINE",2021-05-13,133,"2021","YES"
"147","SHRINE4",4,"SHRINE",2014-04-25,115,"2014","YES"
"148","SHRINE4",4,"SHRINE",2015-04-20,110,"2015","YES"
"149","SHRINE4",4,"SHRINE",2016-03-31,91,"2016","YES"
"150","SHRINE4",4,"SHRINE",2017-03-20,79,"2017","YES"
"151","SHRINE4",4,"SHRINE",2018-05-07,127,"2018","YES"
"152","SHRINE4",4,"SHRINE",2019-05-06,126,"2019","YES"
