"","Tree.ID","Plant.ID","Site","Date","DOY","Year","F"
"1","GCVC1",1,"GCVC",2013-06-29,180,"2013","YES"
"2","GCVC1",1,"GCVC",2014-06-23,174,"2014","YES"
"3","GCVC1",1,"GCVC",2015-06-25,176,"2015","YES"
"4","GCVC1",1,"GCVC",2016-08-25,238,"2016","YES"
"5","GCVC10",10,"GCVC",2013-06-26,177,"2013","YES"
"6","GCVC10",10,"GCVC",2014-06-23,174,"2014","YES"
"7","GCVC10",10,"GCVC",2016-06-27,179,"2016","YES"
"8","GCVC10",10,"GCVC",2017-07-24,205,"2017","YES"
"9","GCVC10",10,"GCVC",2018-06-25,176,"2018","YES"
"10","GCVC10",10,"GCVC",2019-06-24,175,"2019","YES"
"11","GCVC10",10,"GCVC",2020-06-22,174,"2020","YES"
"12","GCVC10",10,"GCVC",2021-06-28,179,"2021","YES"
"13","GCVC2",2,"GCVC",2013-07-03,184,"2013","YES"
"14","GCVC2",2,"GCVC",2014-06-23,174,"2014","YES"
"15","GCVC2",2,"GCVC",2017-07-17,198,"2017","YES"
"16","GCVC2",2,"GCVC",2018-06-25,176,"2018","YES"
"17","GCVC2",2,"GCVC",2019-09-02,245,"2019","YES"
"18","GCVC2",2,"GCVC",2020-09-17,261,"2020","YES"
"19","GCVC3",3,"GCVC",2014-06-23,174,"2014","YES"
"20","GCVC3",3,"GCVC",2020-07-30,212,"2020","YES"
"21","GCVC3",3,"GCVC",2021-08-19,231,"2021","YES"
"22","GCVC4",4,"GCVC",2013-07-06,187,"2013","YES"
"23","GCVC4",4,"GCVC",2014-06-23,174,"2014","YES"
"24","GCVC4",4,"GCVC",2015-06-22,173,"2015","YES"
"25","GCVC4",4,"GCVC",2016-06-30,182,"2016","YES"
"26","GCVC4",4,"GCVC",2018-07-26,207,"2018","YES"
"27","GCVC4",4,"GCVC",2019-09-02,245,"2019","YES"
"28","GCVC4",4,"GCVC",2020-07-06,188,"2020","YES"
"29","GCVC5",5,"GCVC",2013-06-29,180,"2013","YES"
"30","GCVC5",5,"GCVC",2014-06-23,174,"2014","YES"
"31","GCVC5",5,"GCVC",2015-06-22,173,"2015","YES"
"32","GCVC7",7,"GCVC",2013-06-26,177,"2013","YES"
"33","GCVC7",7,"GCVC",2014-06-23,174,"2014","YES"
"34","GCVC7",7,"GCVC",2016-06-27,179,"2016","YES"
"35","GCVC7",7,"GCVC",2017-07-20,201,"2017","YES"
"36","GCVC7",7,"GCVC",2018-06-25,176,"2018","YES"
"37","GCVC7",7,"GCVC",2019-08-26,238,"2019","YES"
"38","GCVC7",7,"GCVC",2020-06-22,174,"2020","YES"
"39","GCVC7",7,"GCVC",2021-06-24,175,"2021","YES"
"40","GCVC8",8,"GCVC",2013-06-26,177,"2013","YES"
"41","GCVC8",8,"GCVC",2014-06-23,174,"2014","YES"
"42","GCVC8",8,"GCVC",2016-06-27,179,"2016","YES"
"43","GCVC8",8,"GCVC",2018-06-25,176,"2018","YES"
"44","GCVC8",8,"GCVC",2019-07-08,189,"2019","YES"
"45","GCVC8",8,"GCVC",2020-06-22,174,"2020","YES"
"46","GCVC8",8,"GCVC",2021-06-24,175,"2021","YES"
"47","GCVC9",9,"GCVC",2013-06-26,177,"2013","YES"
"48","GCVC9",9,"GCVC",2014-06-23,174,"2014","YES"
"49","GCVC9",9,"GCVC",2016-06-27,179,"2016","YES"
