"","Plant.ID","Date","Year","Fruit.Y","DOY"
"1",1,2016-10-17,2016,1,291
"2",1,2019-10-17,2019,1,290
"3",1,2020-07-09,2020,1,191
"4",1,2021-07-20,2021,1,201
"5",2,2014-10-30,2014,1,303
"6",2,2016-06-27,2016,1,179
"7",2,2019-10-17,2019,1,290
"8",2,2020-07-09,2020,1,191
"9",2,2021-07-20,2021,1,201
"10",4,2013-10-16,2013,1,289
"11",4,2014-10-30,2014,1,303
"12",4,2020-07-09,2020,1,191
"13",5,2013-10-16,2013,1,289
"14",5,2020-07-09,2020,1,191
"15",6,2014-10-30,2014,1,303
"16",6,2019-10-24,2019,1,297
"17",6,2020-07-09,2020,1,191
"18",7,2019-10-17,2019,1,290
"19",7,2020-07-09,2020,1,191
"20",7,2021-07-20,2021,1,201
"21",8,2020-07-09,2020,1,191
"22",8,2021-07-20,2021,1,201
"23",10,2016-10-17,2016,1,291
