Observation ID,Site,Species Code,Observer,Plant #,Date,Year,Arrival Time,Departure Time,Weather,North Face,South Face,Breaking Leaf Buds,How many do you see?,Leaves?,What % of canopy is full?,Colored Leaves?,What % of canopy has colored leaves?,Falling Leaves,Fruits,How many fruits do you see??,Ripe Fruits,What % of all Fruit are Ripe?,Recent Fruit Drop?,How many dropped fruit did you see?,Species Observed,Other Comments
1,ERD,QUEGAM,SHAMOR,6,5/16/2013,2013,,,NR,,,1,101-1000,1,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
2,ERD,QUEGAM,SHAMOR,7,5/16/2013,2013,,,NR,,,1,11-100,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
3,ERD,QUEGAM,SHAMOR,8,5/16/2013,2013,,,NR,,,1,11-100,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
4,ERD,QUEGAM,SHAMOR,9,5/16/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
5,ERD,QUEGAM,SHAMOR,10,5/16/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
6,ERD,QUEGAM,AHSJEN/SHAMOR,1,5/20/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
7,ERD,QUEGAM,AHSJEN/SHAMOR,2,5/20/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
8,ERD,QUEGAM,AHSJEN/SHAMOR,3,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
9,ERD,QUEGAM,AHSJEN/SHAMOR,4,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
10,ERD,QUEGAM,AHSJEN/SHAMOR,5,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
11,ERD,QUEGAM,AHSJEN/SHAMOR,6,5/20/2013,2013,,,NR,,,1,11-100,1,25-49%,0,<25%,0,0,<3,0,<25%,0,<3,,
12,ERD,QUEGAM,AHSJEN/SHAMOR,7,5/20/2013,2013,,,NR,,,1,11-100,1,>95%,0,<25%,0,0,<3,0,<25%,0,<3,,
13,ERD,QUEGAM,AHSJEN/SHAMOR,8,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
14,ERD,QUEGAM,AHSJEN/SHAMOR,9,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
15,ERD,QUEGAM,AHSJEN/SHAMOR,10,5/20/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
16,ERD,QUEGAM,AHSJEN/DAVELY,1,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
17,ERD,QUEGAM,AHSJEN/DAVELY,2,5/23/2013,2013,,,NR,,,1,11-100,1,50-74%,0,<25%,0,0,<3,0,<25%,0,<3,,
18,ERD,QUEGAM,AHSJEN/DAVELY,3,5/23/2013,2013,,,NR,,,1,11-100,1,75-94%,0,<25%,0,0,<3,0,<25%,0,<3,,
19,ERD,QUEGAM,LORMAK,1,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
20,ERD,QUEGAM,LORMAK,2,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
21,ERD,QUEGAM,SHAMOR,3,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
22,ERD,QUEGAM,SHAMOR,4,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
23,ERD,QUEGAM,AHSJEN,5,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
24,ERD,QUEGAM,AHSJEN,6,4/30/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
25,ERD,QUEGAM,ASHBED,7,4/30/2013,2013,,,NR,,,1,1001-10000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
26,ERD,QUEGAM,ASHBED,8,4/30/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
27,ERD,QUEGAM,DAVELY,9,4/30/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
28,ERD,QUEGAM,DAVELY,10,4/30/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
29,ERD,QUEGAM,AHSJEN/SHAMOR,1,5/2/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
30,ERD,QUEGAM,AHSJEN/SHAMOR,2,5/2/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
31,ERD,QUEGAM,AHSJEN/SHAMOR,3,5/2/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
32,ERD,QUEGAM,AHSJEN/SHAMOR,4,5/2/2013,2013,,,NR,,,1,3-10,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
33,ERD,QUEGAM,AHSJEN/SHAMOR,5,5/2/2013,2013,,,NR,,,1,3-10,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
34,ERD,QUEGAM,AHSJEN/SHAMOR,6,5/2/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
35,ERD,QUEGAM,AHSJEN/SHAMOR,7,5/2/2013,2013,,,NR,,,1,1001-10000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
36,ERD,QUEGAM,AHSJEN/SHAMOR,8,5/2/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
37,ERD,QUEGAM,AHSJEN/SHAMOR,9,5/2/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
38,ERD,QUEGAM,AHSJEN/SHAMOR,10,5/2/2013,2013,,,NR,,,1,101-1000,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
39,ERD,QUEGAM,ASHBED/DAVELY,1,5/7/2013,2013,,,NR,,,1,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
40,ERD,QUEGAM,ASHBED/DAVELY,2,5/7/2013,2013,,,NR,,,0,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
41,ERD,QUEGAM,ASHBED/DAVELY,3,5/7/2013,2013,,,NR,,,1,<3,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
42,ERD,QUEGAM,ASHBED/DAVELY,4,5/7/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
43,ERD,QUEGAM,ASHBED/DAVELY,5,5/7/2013,2013,,,NR,,,1,11-100,0,<25%,0,<25%,0,0,<3,0,<25%,0,<3,,
