"","Observation.ID","Site","Species.Code","Observer","Plant..","Date","Year","Arrival.Time","Departure.Time","Weather","North.Face","South.Face","Breaking.Leaf.Buds","How.many.do.you.see.","Leaves.","What...of.canopy.is.full.","Colored.Leaves.","What...of.canopy.has.colored.leaves.","Falling.Leaves","Fruits","How.many.fruits.do.you.see..","Ripe.Fruits","What...of.all.Fruit.are.Ripe.","Recent.Fruit.Drop.","How.many.dropped.fruit.did.you.see.","Species.Observed","Other.Comments"
"1",59,"ERD","QUEGAM","AHSJEN/SHAMOR",1,"5/13/2013",2013,"","","NR",NA,NA,1,"101-1000",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"2",551,"ERD","QUEGAM","TESREE",1,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",74,64,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"3",1081,"ERD","QUEGAM","AUBWOO",1,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",70,74,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"4",1471,"ERD","QUEGAM","IANENN, JUSMIN",1,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",43,43,1,"11-100",1,"50-74%",0,"<25%",0,0,"101-1000",0,"<25%",0,"<3","Orange and blue lichen","Pre-acorn clusters recorded as fruits, 1 broken branch"
"5",1871,"ERD","QUEGAM","AHSJEN",1,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"6",2181,"ERD","QUEGAM","AHSJEN",1,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"7",2321,"ERD","QUEGAM","MELSTE",1,"5/13/2019",2019,"07:36:00 AM","07:56:00 AM","Clear, mostly or full sun",48,48,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"8",2721,"ERD","QUEGAM","MEADRE, CAMPRO",1,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",60,56,1,"101-1000",1,"25-49%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"9",2832,"ERD","QUEGAM","HARFRI",1,"5/18/2021",2021,"07:20:00 AM","07:45:00 AM","Clear, mostly or full sun",52,52,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"10",3033,"ERD","QUEGAM","Cannon, Watts",1,"4/20/2022",2022,"02:15:00 PM","03:00:00 PM","Clear, mostly or full sun",86,82,1,"<3",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"11",60,"ERD","QUEGAM","AHSJEN/SHAMOR",2,"5/13/2013",2013,"","","NR",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"12",552,"ERD","QUEGAM","TESREE",2,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",68,66,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"13",1082,"ERD","QUEGAM","AUBWOO",2,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",69,73,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","circada exoskeleton on trunk",""
"14",1472,"ERD","QUEGAM","IANENN, JUSMIN",2,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",45,48,1,"11-100",1,"50-74%",0,"<25%",0,0,"101-1000",0,"<25%",0,"<3","Orange and blue lichen","1 broken branch"
"15",1872,"ERD","QUEGAM","AHSJEN",2,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"16",2182,"ERD","QUEGAM","AHSJEN",2,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"17",2282,"ERD","QUEGAM","MELSTE, AHSJEN",2,"4/30/2019",2019,"07:30:00 AM","07:58:00 AM","Hazy",34,33,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"18",2722,"ERD","QUEGAM","MEADRE, CAMPRO",2,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",64,57,1,"11-100",1,"25-49%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"19",2833,"ERD","QUEGAM","HARFRI",2,"5/18/2021",2021,"07:20:00 AM","07:45:00 AM","Clear, mostly or full sun",56,52,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"20",3064,"ERD","QUEGAM","Watts",2,"5/12/2022",2022,"10:00:00 AM","10:45:00 AM","Clear, mostly or full sun",62,79,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"21",61,"ERD","QUEGAM","AHSJEN/SHAMOR",3,"5/13/2013",2013,"","","NR",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"22",553,"ERD","QUEGAM","TESREE",3,"5/12/2014",2014,"04:10:00 PM","04:45:00 PM","Clear, mostly or full sun",84,68,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","","Recorded North face temp is sun. South is shade."
"23",1083,"ERD","QUEGAM","AUBWOO",3,"5/11/2015",2015,"12:48:00 PM","01:21:00 PM","Clear, mostly or full sun",63,67,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"24",1473,"ERD","QUEGAM","IANENN, JUSMIN",3,"5/24/2016",2016,"07:15:00 AM","08:10:00 AM","Partly cloudy",44,47,1,"11-100",1,"50-74%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","Orange and blue lichen","large dead branch"
"25",1873,"ERD","QUEGAM","AHSJEN",3,"4/17/2017",2017,"07:45:00 AM","08:30:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"26",2183,"ERD","QUEGAM","AHSJEN",3,"4/10/2018",2018,"08:00:00 AM","08:35:00 AM","Clear, mostly or full sun",NA,NA,1,"11-100",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"27",2323,"ERD","QUEGAM","MELSTE",3,"5/13/2019",2019,"07:36:00 AM","07:56:00 AM","Clear, mostly or full sun",64,50,1,"3-10",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"28",2723,"ERD","QUEGAM","MEADRE, CAMPRO",3,"5/18/2020",2020,"07:45:00 AM","08:45:00 AM","Clear, mostly or full sun",66,60,1,"11-100",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
"29",3045,"ERD","QUEGAM","Watts",3,"4/28/2022",2022,"09:40:00 AM","10:30:00 AM","Clear, mostly or full sun",66,62,1,"3-10",0,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","Rust/orange colored lichen",""
"30",62,"ERD","QUEGAM","AHSJEN/SHAMOR",4,"5/13/2013",2013,"","","NR",NA,NA,1,"101-1000",1,"<25%",0,"<25%",0,0,"<3",0,"<25%",0,"<3","",""
